Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2021-07-08,147.24,147.86,149.05,146.85,13.27K,-0.57%,13270.0
2021-07-07,148.09,147.9,148.51,147.9,8.79K,0.07%,8790.0
2021-07-06,147.98,147.39,148.53,147.39,2.45K,1.02%,2450.0
2021-07-05,146.49,146.39,146.69,146.32,2.26K,0.31%,2260.0
2021-07-02,146.04,145.57,146.84,145.57,11.43K,0.75%,11430.0
2021-07-01,144.96,145.4,145.61,144.75,3.93K,0.26%,3930.0
2021-06-30,144.58,143.46,144.58,143.2,8.09K,0.70%,8090.0
2021-06-29,143.57,144.61,144.61,143.02,17.88K,-0.79%,17880.0
2021-06-28,144.72,144.99,145.07,144.38,9.27K,0.05%,9270.0
2021-06-25,144.65,144.68,145.06,144.64,6.77K,-0.06%,6770.0
2021-06-24,144.73,144.47,145.15,144.33,3.07K,-0.28%,3070.0
2021-06-23,145.13,145.0,145.43,144.63,8.70K,0.23%,8700.0
2021-06-22,144.79,145.16,145.78,144.67,13.69K,-0.38%,13690.0
2021-06-21,145.34,145.37,145.69,144.66,6.42K,-0.06%,6420.0
2021-06-18,145.42,145.57,146.17,144.92,5.25K,0.83%,5250.0
2021-06-17,144.23,146.95,146.98,144.23,15.55K,-3.11%,15550.0
2021-06-16,148.86,148.91,148.94,148.44,5.44K,-0.02%,5440.0
2021-06-15,148.89,149.32,149.47,148.84,11.61K,-0.24%,11610.0
2021-06-14,149.25,149.19,149.5,147.91,4.78K,-0.86%,4780.0
2021-06-11,150.55,151.41,151.53,150.55,3.24K,-0.25%,3240.0
2021-06-10,150.92,150.33,150.97,149.4,8.34K,0.19%,8340.0
2021-06-09,150.64,150.65,150.85,150.29,6.02K,-0.09%,6020.0
2021-06-08,150.78,151.18,151.57,150.3,5.87K,0.08%,5870.0
2021-06-07,150.66,150.45,150.66,150.31,4.90K,-0.21%,4900.0
2021-06-04,150.97,150.01,151.14,149.78,3.86K,0.92%,3860.0
2021-06-03,149.6,151.09,151.11,149.15,5.95K,-1.14%,5950.0
2021-06-02,151.33,150.87,151.82,150.87,2.97K,0.53%,2970.0
2021-06-01,150.53,151.91,151.92,150.03,5.82K,-0.48%,5820.0
2021-05-31,151.26,151.64,151.79,151.19,1.99K,0.34%,1990.0
2021-05-28,150.75,150.56,151.83,150.52,4.55K,0.06%,4550.0
2021-05-27,150.66,151.19,151.21,150.26,2.07K,-0.44%,2070.0
2021-05-26,151.33,150.96,151.78,150.96,6.45K,0.85%,6450.0
2021-05-25,150.06,149.4,150.06,148.9,6.51K,0.42%,6510.0
2021-05-21,149.43,148.66,150.2,148.66,2.20K,0.12%,2200.0
2021-05-20,149.25,149.15,149.27,148.58,32.81K,-0.29%,32810.0
2021-05-19,149.69,148.41,149.87,147.43,6.28K,0.81%,6280.0
2021-05-18,148.48,148.92,148.92,148.26,16.92K,-0.38%,16920.0
2021-05-17,149.04,148.24,149.04,147.43,3.07K,1.33%,3070.0
2021-05-14,147.08,147.02,147.17,146.79,1.85K,0.23%,1850.0
2021-05-13,146.74,146.1,146.74,145.69,4.15K,0.23%,4150.0
2021-05-12,146.41,146.8,147.23,146.41,11.43K,0.21%,11430.0
2021-05-11,146.1,146.74,146.94,145.34,7.90K,-0.47%,7900.0
2021-05-10,146.79,146.39,147.03,146.37,10.79K,0.23%,10790.0
2021-05-07,146.46,146.43,147.3,146.18,8.20K,0.24%,8200.0
2021-05-06,146.11,144.91,146.19,144.27,6.51K,1.32%,6510.0
2021-05-05,144.2,143.68,144.33,143.45,10.10K,0.08%,10100.0
